질문,답변
휴먼퓨처소프트의 CEO는 누구인가요?,현재 휴먼퓨처소프트의 대표이사(CEO)는 이지원 님입니다.
휴먼퓨처소프트는 주 4일제 하나요?,"네, 저희는 개인 법인카드 지급(월 50만원), 포괄임금제 폐지 등 선진적인 근무 환경을 도입 중이며, 현재 주 4일제를 시범 운영하고 있습니다."
협업 툴도 만드나요?,"네, 휴먼퓨처소프트는 올인원 협업 툴인 'TeamSync (팀싱크)'를 서비스하고 있습니다."
휴먼퓨처소프트 본사는 어디에 있나요?,저희 본사는 정선군 인천광역시 중구 학동거리 지하150 (서준박리)에 위치해 있습니다.
휴먼퓨처소프트 인재상이 궁금합니다.,"저희는 '미래 지향성', '완전한 자율성', '빠른 실행력'을 핵심 가치로 삼으며, 이러한 인재상을 가진 분을 찾고 있습니다."
휴먼퓨처소프트의 주요 제품은 무엇인가요?,"휴먼퓨처소프트는 Future-Edu (퓨처에듀), TeamSync (팀싱크), AURA (Advanced Unified Reasoning Assistant) 등 시대를 앞서가는 AI 솔루션을 제공합니다."
휴먼퓨처소프트 복지는 어떤가요?,"휴먼퓨처소프트는 주 4일제(금요일 휴무) 시범 운영, 포괄임금제 폐지, 전직원 스톡옵션 지급, 근무지 자율 선택(국내/해외), 업계 최고 수준 연봉, 개인 법인카드 지급(월 50만원), 무제한 유급 휴가 등 임직원의 삶과 성장을 위한 파격적인 복지를 제공하고 있습니다."
기업용 LLM 솔루션 이름이 뭔가요?,저희 차세대 기업용 LLM 솔루션의 이름은 AURA(Advanced Unified Reasoning Assistant)입니다.
휴먼퓨처소프트의 비전이 무엇인가요?,휴먼퓨처소프트의 비전은 인간과 AI가 완벽하게 공존하며 시너지를 내는 미래를 소프트웨어로 구현하는 것입니다.
휴먼퓨처소프트는 어떤 회사인가요?,"휴먼퓨처소프트는 정선군 인천광역시 중구 학동거리 지하150 (서준박리)에 위치한 AGI 및 LLM 솔루션 전문 기업으로, 2019년에 이지원 대표가 설립했습니다."
